subject_id,subject,kind,status,group,capability_id,capability,binding,interop,interop_reason,level,confidence,note,sources
arkit,Apple ARKit and RealityKit,device-platform,shipping,Rendering & presentation,render.raster,Rasterization pipeline,format,none,"How a system turns geometry into pixels never leaves that system, so two runtimes can draw the same scene by different means and nothing crosses.",native,verified,"RealityKit draws the scene itself and is the renderer Apple's own apps and system viewers use for USD content; the pass structure is not exposed, and the only developer hook into the frame is a post-process callback.",https://developer.apple.com/documentation/realitykit | https://developer.apple.com/documentation/usd/validating-usd-files | https://developer.apple.com/documentation/realitykit/realityrenderer
arkit,Apple ARKit and RealityKit,device-platform,shipping,Rendering & presentation,render.gpu-api,Graphics interface binding,format,none,"The graphics interface a runtime targets is a build choice inside one system, and an arriving asset cannot tell the difference.",native,verified,"The renderer targets Metal only. Custom shading is written in Metal, and a RealityKit scene can be driven inside an existing Metal workflow; there is no path to any other graphics interface.",https://developer.apple.com/documentation/realitykit/realityrenderer | https://developer.apple.com/documentation/realitykit/custommaterial
arkit,Apple ARKit and RealityKit,device-platform,shipping,Rendering & presentation,render.material,Material model,format,should,"An asset that arrives against a different surface model still loads, but the further apart the two models are the more the look drifts.",native,verified,"Three material kinds ship: a physically based material that mirrors what USDZ carries, a shader-graph material built in Reality Composer Pro or loaded from MaterialX, and a custom material with Metal surface shaders and geometry modifiers.",https://developer.apple.com/documentation/realitykit/custommaterial | https://developer.apple.com/documentation/realitykit/physicallybasedmaterial | https://developer.apple.com/documentation/realitykit/shadergraphmaterial
arkit,Apple ARKit and RealityKit,device-platform,shipping,Rendering & presentation,render.lighting,Lighting and global illumination,format,should,A moved scene whose lights are read differently is lit wrong rather than lost.,native,verified,"Image-based lighting, directional, point and spot lights, baked lightmaps and diffuse probes are all in the framework. The trap for interchange: RealityKit ignores every light authored inside a USD file and lights the scene from the real room instead, so a lighting rig does not survive the move into this renderer.",https://developer.apple.com/documentation/usd/validating-usd-files | https://developer.apple.com/documentation/realitykit/environmentresource | https://developer.apple.com/documentation/realitykit/scene-content-global-illumination
arkit,Apple ARKit and RealityKit,device-platform,shipping,Rendering & presentation,render.post,Post-processing,format,none,Effects applied after the main pass are the receiving system's taste and carry nothing across.,native,verified,"A registered callback receives the finished frame before display, and bloom and tone mapping ship as components.",https://developer.apple.com/documentation/realitykit/postprocessing-effects
arkit,Apple ARKit and RealityKit,device-platform,shipping,Rendering & presentation,render.lod,Level of detail and streaming order,protocol,should,"Without an agreed order for what to send first, a large scene still arrives, it just pops and stalls on the way in.",none,verified,There is no level-of-detail or streaming-order mechanism in either framework. Apple's own guidance is to do it by hand at authoring time: size each asset for how large it will appear and cut big meshes into pieces so off-camera parts can be culled.,https://developer.apple.com/documentation/usd/creating-usd-files-for-apple-devices
arkit,Apple ARKit and RealityKit,device-platform,shipping,Rendering & presentation,render.splat,Gaussian splatting and radiance fields,format,should,"Only content captured as splats is affected: a system that cannot draw them shows nothing of it, while mesh content is untouched.",native,verified,"RealityKit renders three-dimensional Gaussian splats through a dedicated component, with spherical-harmonic colour, sorting and projection modes. It reads no splat file: the app parses PLY, USD or any other container itself and fills GPU buffers, so there is no interchange path, only a rendering path.",https://developer.apple.com/documentation/realitykit/gaussiansplatcomponent
arkit,Apple ARKit and RealityKit,device-platform,shipping,Rendering & presentation,render.volumetric,Volumetric and point cloud,format,should,"The same holds for point clouds and volumetric video, which travel in forms few systems read.",partial,verified,"Captured scenes reach the screen as splats, and stereoscopic and Apple Immersive Video play through a video component; a point cloud is drawn only inside the object-capture scanning view. There is no general voxel or point-cloud renderer and no volumetric video codec in the frameworks themselves.",https://developer.apple.com/documentation/realitykit/gaussiansplatcomponent | https://developer.apple.com/documentation/realitykit/videoplayercomponent | https://developer.apple.com/documentation/immersivemediasupport
arkit,Apple ARKit and RealityKit,device-platform,shipping,Rendering & presentation,render.text,Text rendering,format,should,"Labels, signs and name tags lose their font and layout when the two systems disagree, so the text degrades while the rest of the asset is fine.",native,verified,"Text becomes an extruded mesh through a generator on the mesh resource, and USD assets can carry text through Apple's preliminary text schema.",https://developer.apple.com/documentation/realitykit/meshresource/generatetext(_:extrusiondepth:font:containerframe:alignment:linebreakmode:) | https://developer.apple.com/documentation/usd/usd-schemas-for-ar
arkit,Apple ARKit and RealityKit,device-platform,shipping,Rendering & presentation,render.camera,Camera and viewpoint model,format,should,"Authored viewpoints are part of a scene, and losing them costs the arrival shot, not the scene.",native,verified,"In an AR session the device camera is the viewpoint; outside one, a perspective camera entity sets it, and RealityRenderer takes an explicit active camera.",https://developer.apple.com/documentation/realitykit/perspectivecamera
arkit,Apple ARKit and RealityKit,device-platform,shipping,Scene & assets,scene.graph,Scene graph model,format,must,"If the receiving system cannot rebuild the same tree, parenting and transforms collapse and the asset does not assemble at all.",native,verified,The scene is an entity tree with components attached; Reality Composer Pro authors the same entity-component-system model that the runtime executes.,https://developer.apple.com/documentation/realitykit/entity | https://developer.apple.com/documentation/realitycomposerpro
arkit,Apple ARKit and RealityKit,device-platform,shipping,Scene & assets,scene.transform,Transforms and coordinate convention,format,must,"A disagreement about handedness or axis order puts every object in the wrong place or mirrored, which is the classic hand fix.",native,verified,"Every entity carries a transform of scale, rotation as a unit quaternion, and translation. The frame is Y-up and right-handed, which matches OpenUSD and glTF and differs from the left-handed engines.",https://developer.apple.com/documentation/usd/creating-usd-files-for-apple-devices | https://developer.apple.com/documentation/realitykit/transform | https://developer.apple.com/documentation/arkit/arfaceanchor
arkit,Apple ARKit and RealityKit,device-platform,shipping,Scene & assets,scene.container,Asset container format,format,must,"The file is the boundary: if the second system cannot open it, nothing else on this list matters.",native,verified,"The container is OpenUSD: the loader reads .usd, .usda, .usdc, .usdz and Apple's own .reality file. RealityKit itself only loads; authoring USD is USDKit's job, and Object Capture and RoomPlan are the parts of the platform that write it.",https://developer.apple.com/documentation/realitykit/loading-entities-from-a-file | https://developer.apple.com/documentation/usd | https://developer.apple.com/documentation/usdkit
arkit,Apple ARKit and RealityKit,device-platform,shipping,Scene & assets,scene.geometry,Geometry encoding,format,must,"A mesh encoded in a way the receiver cannot decode is not a mesh, and the compression choice is where this usually breaks.",native,verified,"Geometry arrives as USD meshes, in text or binary form; procedural primitives, extruded paths and a low-level mesh with an app-defined vertex layout are all available at runtime.",https://developer.apple.com/documentation/usd/creating-usd-files-for-apple-devices | https://developer.apple.com/documentation/realitykit/meshresource | https://developer.apple.com/documentation/realitykit/lowlevelmesh
arkit,Apple ARKit and RealityKit,device-platform,shipping,Scene & assets,scene.texture,Texture encoding,format,must,Device-specific texture compression is the common failure: the model arrives untextured and someone must re-export it.,native,verified,"Textures load into GPU-resident resources with optional ASTC compression, and the USDZ archive is limited to four image encodings.",https://developer.apple.com/documentation/usd/creating-usd-files-for-apple-devices | https://developer.apple.com/documentation/realitykit/textureresource | https://developer.apple.com/documentation/realitykit/textureresource/compression
arkit,Apple ARKit and RealityKit,device-platform,shipping,Scene & assets,scene.material-x,Material exchange,format,must,"Carrying materials without loss is what ""renders in another system"" means, and only two subjects reach this row natively today.",partial,verified,"MaterialX comes in, but not without loss. A shader-graph material can be built straight from MaterialX data, and Apple publishes the exact places RealityKit falls short of the specification: one packed texture per material, two UV sets, and only the first texture transform in a material is honoured.",https://developer.apple.com/documentation/usd/validating-usd-files | https://developer.apple.com/documentation/realitykit/shadergraphmaterial
arkit,Apple ARKit and RealityKit,device-platform,shipping,Scene & assets,scene.animation,Animation encoding,format,must,"A clip that cannot be read leaves the object still, and an avatar that cannot move is not an avatar.",native,verified,"Animation resources travel inside the asset file and are played, sequenced, grouped and looped at runtime; Reality Composer Pro adds multi-track sequences and an animation graph.",https://developer.apple.com/documentation/realitycomposerpro | https://developer.apple.com/documentation/realitykit/animationresource
arkit,Apple ARKit and RealityKit,device-platform,shipping,Scene & assets,scene.skeleton,Skeleton and rig definition,format,must,"The bone hierarchy is what makes a body move correctly elsewhere; without an agreed one, motion has nothing to bind to.",native,verified,"A mesh carries a joint hierarchy and per-vertex joint influences, and the runtime exposes named skeletal poses for reading and writing. One constraint on the way in: Apple asks authors to merge several rigs into a single joint hierarchy before export.",https://developer.apple.com/documentation/usd/creating-usd-files-for-apple-devices | https://developer.apple.com/documentation/realitykit/meshresource/skeleton | https://developer.apple.com/documentation/realitykit/skeletalposescomponent
arkit,Apple ARKit and RealityKit,device-platform,shipping,Scene & assets,scene.morph,Morph targets and blend shapes,format,should,"Blend shapes carry facial detail, so losing them freezes a face rather than stopping the transfer.",native,verified,Blend shape weights are a component whose named weight sets can be read and written at runtime.,https://developer.apple.com/documentation/realitykit/blendshapeweightscomponent
arkit,Apple ARKit and RealityKit,device-platform,shipping,Scene & assets,scene.instancing,Instancing,format,should,"A scene without agreed instancing still loads, it just costs far more memory and frames.",native,verified,"A component performs GPU instancing over one entity's model, and instancing of mesh and texture data survives import from USD.",https://developer.apple.com/documentation/usd/validating-usd-files | https://developer.apple.com/documentation/realitykit/meshinstancescomponent
arkit,Apple ARKit and RealityKit,device-platform,shipping,Scene & assets,scene.compose,Scene composition and overrides,format,should,"Layered references are a working convenience, and flattening on export is the fallback that keeps the asset moving.",native,verified,"This is the strongest interchange story in the subject. Composition is USD's: files reference other files and override what they reference, USDKit exposes layers and stages to Swift, and a USD stage can be rendered straight into an entity hierarchy.",https://developer.apple.com/documentation/usd | https://developer.apple.com/documentation/usdkit
arkit,Apple ARKit and RealityKit,device-platform,shipping,Scene & assets,scene.units,Units and scale,format,must,"A metre read as a centimetre makes the asset useless on arrival, and rescaling by hand is the fix the use case forbids.",native,verified,"One unit is one metre, and the physics simulation states the same unit independently.",https://developer.apple.com/documentation/usd/creating-usd-files-for-apple-devices | https://developer.apple.com/documentation/realitykit/physicssimulationcomponent
arkit,Apple ARKit and RealityKit,device-platform,shipping,Scene & assets,scene.licence,Rights and licence metadata,format,must,"An item that arrives with no readable terms cannot be lawfully worn, shown or sold, so the move fails at the rights boundary even when every byte arrives.",none,reported,"Nothing in ARKit, RealityKit or the USDZ packaging guidance carries terms of use with an asset. Apple's USD documentation covers geometry, materials, behaviour and packaging and says nothing about rights.",
arkit,Apple ARKit and RealityKit,device-platform,shipping,Scene & assets,scene.provenance,Provenance and authorship,format,should,A signed record of who made an asset lets a receiver trust it; without one the asset still works but nobody can check its history.,none,reported,"There is no signed record of who made an asset and how. USDZ is a plain zip archive of a USD file and its dependencies, with no signature and no content credential.",
arkit,Apple ARKit and RealityKit,device-platform,shipping,Avatars,avatar.body,Avatar body format,format,must,The portable description of the body is the artefact this use case moves; with no agreement the person arrives as nothing.,partial,verified,"The platform has an avatar — the spatial Persona a person appears as in a shared session — but the app never sees it. The system places and renders Personas; there is no portable body description, no file, and no app-side representation to move anywhere else.",https://developer.apple.com/documentation/groupactivities/adding-spatial-persona-support-to-an-activity
arkit,Apple ARKit and RealityKit,device-platform,shipping,Avatars,avatar.skeleton,Avatar skeleton standard,format,must,Agreed bone names are what let animation authored anywhere play on the arriving body.,partial,verified,"ARKit publishes one named joint hierarchy for tracked human bodies, with a stated neutral height, and a character has to be rigged to it to be driven. It is Apple's own list rather than an agreed interchange skeleton, and it exists for body tracking, not for carrying an avatar between worlds.",https://developer.apple.com/documentation/arkit/arskeletondefinition | https://developer.apple.com/documentation/arkit/arskeletondefinition/defaultbody3d
arkit,Apple ARKit and RealityKit,device-platform,shipping,Avatars,avatar.expression,Facial expression standard,format,must,"The use case names expressions, and named shapes the destination does not know leave a blank face.",partial,verified,"ARKit's named blend-shape coefficients for the face are the closest thing the industry has to a shared expression vocabulary, and many other systems copy the names. They are a tracking output on iOS front-camera sessions, not a format, and Apple defines no viseme set for speech.",https://developer.apple.com/documentation/arkit/arfaceanchor | https://developer.apple.com/documentation/arkit/arfaceanchor/blendshapelocation
arkit,Apple ARKit and RealityKit,device-platform,shipping,Avatars,avatar.retarget,Animation retargeting,protocol,should,"Retargeting is the repair when skeletons differ, so its absence costs motion quality rather than the visit.",partial,verified,"A body-tracked entity plays a live person's motion on a virtual character, and a full-body inverse kinematics solver adapts a pose procedurally. Both require the character to be rigged to Apple's skeleton; there is no general mapping between two arbitrary rigs.",https://developer.apple.com/documentation/realitykit/bodytrackedentity | https://developer.apple.com/documentation/realitykit/ikcomponent
arkit,Apple ARKit and RealityKit,device-platform,shipping,Avatars,avatar.wearable,Attachments and wearables,format,must,"Equipped items are named in the use case, and attachment points that do not survive leave items on the floor or on the wrong bone.",none,reported,"No worn or carried item model, and no attachment-point convention for one. Anything worn is an ordinary child entity of the wearer's transform, with no named socket that would survive a move to another system.",
arkit,Apple ARKit and RealityKit,device-platform,shipping,Avatars,avatar.lod,Avatar level of detail,protocol,should,"Reduced forms matter for crowds and weak devices, and their absence costs frames, not presence.",none,reported,No reduced avatar representation for crowds or weak devices. There is no level-of-detail mechanism of any kind in the frameworks.,
arkit,Apple ARKit and RealityKit,device-platform,shipping,Avatars,avatar.identity,Avatar to identity binding,protocol,must,"Without a way to bind an avatar to a verifiable identity, the person who arrives cannot be shown to be the person who left.",none,reported,"Nothing binds an avatar to a checkable identity. A spatial Persona belongs to the Apple account on the call, and the app is given neither the Persona nor a credential about it.",
arkit,Apple ARKit and RealityKit,device-platform,shipping,Physics & simulation,physics.rigid,Rigid bodies,format,should,Mass and velocity carried across make a moved object behave nearly the same; their absence changes the behaviour without stopping it.,native,verified,"A physics body component gives an entity mass and Newtonian response, and a separate motion component carries linear and angular velocity; a simulation component sets gravity and solver iterations for a subtree.",https://developer.apple.com/documentation/realitykit/physicssimulationcomponent | https://developer.apple.com/documentation/realitykit/physicsbodycomponent | https://developer.apple.com/documentation/realitykit/physicsmotioncomponent
arkit,Apple ARKit and RealityKit,device-platform,shipping,Physics & simulation,physics.collision,Collision shapes,format,should,"Collision shapes travel separately from visible geometry, and losing them means objects pass through each other until the destination builds its own.",native,verified,"Collision shapes are a separate component from the visible mesh and also serve queries, ray casts and convex shape casts; box, convex mesh and triangle mesh shapes are named explicitly.",https://developer.apple.com/documentation/realitykit/collisioncomponent | https://developer.apple.com/documentation/realitykit/shaperesource
arkit,Apple ARKit and RealityKit,device-platform,shipping,Physics & simulation,physics.joint,Joints and constraints,format,should,"Hinges and sliders that do not survive turn an assembly into loose parts, which is a loss of behaviour rather than of the asset.",native,verified,"Joints link two entities at named pin poses with linear and angular limits, and live on a joints component inside a simulation.",https://developer.apple.com/documentation/realitykit/physicsjoint
