id,name,kind,org,licence,url,status,version,status_date
gltf,glTF,standard,Khronos,royalty-free,https://registry.khronos.org/glTF/,ratified,2.0.1,2021-10-11
gltf21,glTF 2.1,standard,Khronos,royalty-free,https://www.khronos.org/blog/introducing-gltf-2.1-with-complex-scenes,in-development,2.1,2026-06-11
usd,OpenUSD Core Specification,standard,Alliance for OpenUSD,CC-BY-ND,https://aousd.org/usd-core-specification/,ratified,1.0.1,2025-12-12
x3d,X3D (ISO/IEC 19775-1),standard,Web3D / ISO-IEC,published,https://www.web3d.org/x3d4,ratified,4.0,2023-12
openxr,OpenXR,standard,Khronos,royalty-free,https://registry.khronos.org/OpenXR/,ratified,1.1.62,2026-07-31
webxr,WebXR Device API,standard,W3C,W3C,https://www.w3.org/TR/webxr/,candidate,CR Draft,2026-06-09
webgpu,WebGPU,standard,W3C,W3C,https://www.w3.org/TR/webgpu/,candidate,CR Draft,2026-08-20
vrm,VRM,standard,VRM Consortium,MIT,https://vrm.dev/,ratified,1.0,2022-09-22
mpeg-arf,MPEG-I Avatar Representation Format,standard,ISO-IEC SC29,paid,https://www.iso.org/standard/91745.html,draft,23090-39 DIS,2026-07-31
mpeg-audio,MPEG-I Immersive Audio,standard,ISO-IEC SC29,paid,https://www.iso.org/standard/110278,ratified,23090-4:2025,2025-11-03
mpeg-scene,MPEG-I Scene Description,standard,ISO-IEC SC29,paid,https://www.iso.org/standard/90191.html,ratified,23090-14:2025,2025-11
geopose,OGC GeoPose,standard,OGC,royalty-free,https://docs.ogc.org/is/21-056r11/21-056r11.html,ratified,1.0,2023-09-08
3dtiles,OGC 3D Tiles (Community Standard),standard,OGC,royalty-free,https://docs.ogc.org/cs/22-025r4/22-025r4.html,ratified,1.1,2023-01-12
did,Decentralized Identifiers,standard,W3C,W3C,https://www.w3.org/TR/did-core/,ratified,1.0,2022-07-19
vc,Verifiable Credentials Data Model,standard,W3C,W3C,https://www.w3.org/TR/vc-data-model-2.0/,ratified,2.0,2025-05-15
c2pa,C2PA Content Credentials,standard,C2PA,open,https://c2pa.org/,shipping,,
ieee2874,IEEE 2874 Spatial Web,standard,IEEE,paid,https://standards.ieee.org/ieee/2874/11717/,board-approved,2874-2025,2025-05-28
um,Universal Manifest,standard,Universal Manifest Working Group,W3C,https://universalmanifest.net/spec/latest/,draft,0.4,2026-07-09
iwps,Inter-World Portaling System,standard,OMA3,,https://github.com/oma3dao/iwps-specification,draft,0.3,2025-09-25
wow,Web of Worlds,project,Metaverse Standards Forum,Apache-2.0,https://webofworlds.github.io/initial_MSF_Whitepaper/,whitepaper,0.0.1,2026-06-02
rp1,RP1 Spatial Fabric,project,RP1,,https://github.com/MetaversalCorp/Rubidium,mixed,0.3.0,2026-07-16
teleportxr,TeleportXR,project,Teleport XR Ltd,MIT,https://docs.teleportxr.io/,draft,0.9,2026-09-03
omb,Open Metaverse Browser,project,Metaverse Standards Forum,,https://metaverse-standards.org/open-metaverse-browser-initiative/,preview,0.3.0,2026-07-16
threejs,Three.js,web-runtime,mrdoob and contributors,MIT,https://threejs.org/,shipping,,
babylonjs,Babylon.js,web-runtime,Microsoft and contributors,Apache-2.0,https://www.babylonjs.com/,shipping,,
playcanvas,PlayCanvas,web-runtime,PlayCanvas,MIT,https://playcanvas.com/,shipping,,
cesiumjs,CesiumJS,web-runtime,Cesium GS,Apache-2.0,https://cesium.com/platform/cesiumjs/,shipping,,
unity,Unity,game-engine,Unity Technologies,proprietary,https://unity.com/,shipping,,
unreal,Unreal Engine,game-engine,Epic Games,source-available,https://www.unrealengine.com/,shipping,5.8,2026-06-17
godot,Godot,game-engine,Godot Foundation,MIT,https://godotengine.org/,shipping,4.7.2,2026-08-18
vrchat,VRChat,platform,VRChat Inc,proprietary,https://hello.vrchat.com/,shipping,,
resonite,Resonite,platform,Yellow Dog Man Studios,proprietary,https://resonite.com/,shipping,,
roblox,Roblox,platform,Roblox Corporation,proprietary,https://www.roblox.com/,shipping,,
horizon,Horizon Worlds,platform,Meta,proprietary,https://horizon.meta.com/,shipping,,
recroom,Rec Room,platform,Rec Room Inc,proprietary,https://recroom.com/,shutdown,,2026-06-01
arkit,Apple ARKit and RealityKit,device-platform,Apple,proprietary,https://developer.apple.com/documentation/arkit,shipping,,
arcore,Google ARCore and Android XR,device-platform,Google,proprietary,https://developers.google.com/ar/,mixed,1.56.0,2026-09-04
lightship,Niantic Lightship,device-platform,Niantic Spatial,proprietary,https://www.nianticspatial.com/docs/nsdk/,shipping,4.1.0,
oarc,Open AR Cloud (Open Spatial Computing Platform),standard,Open AR Cloud Association,open,https://openarcloud.org/,mixed,,
v3c,"MPEG-I Visual Volumetric Video-based Coding (V3C, V-PCC and MIV)",standard,ISO-IEC SC29,paid,https://www.iso.org/standard/89030.html,ratified,"23090-5:2025 ed.3 and 23090-12:2025 ed.2",2025-09
4dgs,4D Gaussian splatting and splat formats,technique,,mixed,https://repo-sam.inria.fr/fungraph/3d-gaussian-splatting/,mixed,,2026-09-04
verse,Verse,standard,Epic Games,CC0-1.0 (documentation),https://verselang.github.io/book/,in-development,,2026-07-27
fortnite,Fortnite Creative and the Unreal Editor for Fortnite,platform,Epic Games,proprietary,https://dev.epicgames.com/documentation/en-us/fortnite/fortnite-documentation,shipping,42.10,2026-09-03
cosmos,NVIDIA Cosmos,world-model,NVIDIA,OpenMDW-1.1,https://github.com/NVIDIA/Cosmos,shipping,Cosmos 3,2026-05-31
marble,World Labs Marble,world-model,World Labs,proprietary,https://marble.worldlabs.ai/,shipping,1.1,2026-04-02
hyworld,Tencent Hunyuan World 2.0,world-model,Tencent,source-available,https://github.com/Tencent-Hunyuan/HY-World-2.0,shipping,2.0,2026-05-18
brush,Brush,tool,Arthur Brussee and contributors,Apache-2.0,https://github.com/ArthurBrussee/brush,shipping,0.3.0,2025-09-14
opensplat,OpenSplat,tool,WebODM,AGPL-3.0,https://github.com/WebODM/OpenSplat,shipping,1.2.0,2026-08-20
nerfstudio,Nerfstudio and gsplat,tool,Nerfstudio team and contributors,Apache-2.0,https://docs.nerf.studio/,mixed,nerfstudio 1.1.5; gsplat 1.5.3,2026-09-03
scaniverse,Scaniverse,tool,Niantic Spatial,proprietary,https://scaniverse.com/,shipping,5.2.7,2026-08-17
polycam,Polycam,tool,Polycam Inc,proprietary,https://poly.cam/,shipping,7.0.0,2026-09-02
kiri,KIRI Engine,tool,KIRI Innovation,mixed,https://www.kiriengine.app/,shipping,4.2.7,2026-09-01
hyperscape,Meta Horizon Hyperscape Capture,tool,Meta,proprietary,https://www.meta.com/help/quest/1088536553019177/,beta,,2026-05-12
nurec,NVIDIA Omniverse NuRec and 3DGRUT,tool,NVIDIA,mixed,https://docs.nvidia.com/nurec/,shipping,26.06,2026-07
postshot,Jawset Postshot,tool,Jawset Visual Computing,proprietary,https://www.jawset.com/,shipping,,
dynsplat,Dynamic and four-dimensional Gaussian splat implementations,technique,,mixed,https://arxiv.org/abs/2605.11427,mixed,,2026-09-06
splatavatar,Splat-to-avatar research families,technique,,mixed,https://arxiv.org/abs/2312.02069,mixed,,2026-09-06
