id,group_id,name,definition,binding,interop,interop_reason,interop_uses,sort
render.raster,render,Rasterization pipeline,"Turning scene geometry into pixels, including the render graph and pass structure.",build,none,"How a system turns geometry into pixels never leaves that system, so two runtimes can draw the same scene by different means and nothing crosses.",,0
render.gpu-api,render,Graphics interface binding,Which low-level graphics interface the renderer targets.,build,none,"The graphics interface a runtime targets is a build choice inside one system, and an arriving asset cannot tell the difference.",,1
render.material,render,Material model,How surface appearance is described and evaluated at render time.,build,should,"An asset that arrives against a different surface model still loads, but the further apart the two models are the more the look drifts.","U1,U2",2
render.lighting,render,Lighting and global illumination,"Direct and indirect light, shadows, probes, baked or real time.",build,should,A moved scene whose lights are read differently is lit wrong rather than lost.,U1,3
render.post,render,Post-processing,Effects applied after the main render pass.,build,none,Effects applied after the main pass are the receiving system's taste and carry nothing across.,,4
render.lod,render,Level of detail and streaming order,Choosing what detail to show and what to send first. An interoperability question once geometry is streamed.,connect,should,"Without an agreed order for what to send first, a large scene still arrives, it just pops and stalls on the way in.","U1,U3",5
render.splat,render,Gaussian splatting and radiance fields,Rendering captured scenes represented as splats or radiance fields rather than meshes.,build,should,"Only content captured as splats is affected: a system that cannot draw them shows nothing of it, while mesh content is untouched.",U1,6
render.volumetric,render,Volumetric and point cloud,"Rendering point clouds, voxels and volumetric video.",build,should,"The same holds for point clouds and volumetric video, which travel in forms few systems read.",U1,7
render.text,render,Text rendering,"Legible text in three dimensions, including fonts and layout.",build,should,"Labels, signs and name tags lose their font and layout when the two systems disagree, so the text degrades while the rest of the asset is fine.","U1,U2",8
render.camera,render,Camera and viewpoint model,"How viewpoints are defined, bound and moved between.",build,should,"Authored viewpoints are part of a scene, and losing them costs the arrival shot, not the scene.","U1,U3",9
scene.graph,scene,Scene graph model,The tree or graph of objects and their relationships.,build,must,"If the receiving system cannot rebuild the same tree, parenting and transforms collapse and the asset does not assemble at all.","U1,U2",10
scene.transform,scene,Transforms and coordinate convention,"Handedness, axis order, and how transforms compose.",build,must,"A disagreement about handedness or axis order puts every object in the wrong place or mirrored, which is the classic hand fix.","U1,U2",11
scene.container,scene,Asset container format,The file that carries a model or scene between tools and runtimes.,build,must,"The file is the boundary: if the second system cannot open it, nothing else on this list matters.","U1,U2",12
scene.geometry,scene,Geometry encoding,How meshes are encoded and compressed.,build,must,"A mesh encoded in a way the receiver cannot decode is not a mesh, and the compression choice is where this usually breaks.","U1,U2",13
scene.texture,scene,Texture encoding,Image formats and compression for the target device.,build,must,Device-specific texture compression is the common failure: the model arrives untextured and someone must re-export it.,"U1,U2",14
scene.material-x,scene,Material exchange,Carrying material definitions between different renderers without loss.,build,must,"Carrying materials without loss is what ""renders in another system"" means, and only two subjects reach this row natively today.","U1,U2",15
scene.animation,scene,Animation encoding,How keyframes and animation clips are stored and replayed.,build,must,"A clip that cannot be read leaves the object still, and an avatar that cannot move is not an avatar.","U1,U2",16
scene.skeleton,scene,Skeleton and rig definition,"Bone hierarchy and binding, so a body moves correctly elsewhere.",build,must,"The bone hierarchy is what makes a body move correctly elsewhere; without an agreed one, motion has nothing to bind to.","U1,U2",17
scene.morph,scene,Morph targets and blend shapes,Shape deformation used for faces and detail.,build,should,"Blend shapes carry facial detail, so losing them freezes a face rather than stopping the transfer.","U1,U2",18
scene.instancing,scene,Instancing,Repeating an object many times cheaply.,build,should,"A scene without agreed instancing still loads, it just costs far more memory and frames.",U1,19
