id,name,plane,sort
render,Rendering & presentation,engine,1
scene,Scene & assets,engine,2
avatar,Avatars,engine,3
physics,Physics & simulation,engine,4
audio,Audio,engine,5
net,Networking & session,interop,6
identity,"Identity, trust & rights",interop,7
geo,Spatial & geospatial,interop,8
sense,World sensing,interop,9
input,Input & devices,engine,10
logic,Logic & behaviour,engine,11
persist,Persistence & storage,interop,12
deliver,Packaging & delivery,entry,13
capture,Generation & capture,engine,14
